  SNType      Model   Zstart   Zend   Rate   Iteration   RawLCs   FilteredLCs  
    SLSN   Magnetar     0.07   0.40   1.00           1      522           191  
    SLSN   Magnetar     0.07   0.40   1.00           0      522           187  
