  SNType      Model   Zstart   Zend   Rate   Iteration   RawLCs   FilteredLCs  
    SLSN   Magnetar     0.07   0.40   1.40           1     1136           404  
    SLSN   Magnetar     0.07   0.40   1.60           2     1365           502  
    SLSN   Magnetar     0.07   0.40   0.20           1      157            55  
    SLSN   Magnetar     0.07   0.40   0.40           0      342           121  
    SLSN   Magnetar     0.07   0.40   0.40           2      344           111  
    SLSN   Magnetar     0.07   0.40   0.60           1      468           176  
    SLSN   Magnetar     0.07   0.40   0.80           1      745           256  
    SLSN   Magnetar     0.07   0.40   1.00           1      820           252  
    SLSN   Magnetar     0.07   0.40   1.20           1     1014           334  
    SLSN   Magnetar     0.07   0.40   1.40           2     1092           370  
    SLSN   Magnetar     0.07   0.40   0.20           0      170            68  
    SLSN   Magnetar     0.07   0.40   0.20           2      180            67  
    SLSN   Magnetar     0.07   0.40   0.40           1      354           135  
    SLSN   Magnetar     0.07   0.40   0.60           0      528           192  
    SLSN   Magnetar     0.07   0.40   0.80           0      655           225  
    SLSN   Magnetar     0.07   0.40   1.00           0      830           305  
    SLSN   Magnetar     0.07   0.40   1.20           0     1010           340  
    SLSN   Magnetar     0.07   0.40   1.40           0     1194           412  
    SLSN   Magnetar     0.07   0.40   1.60           1     1350           457  
    SLSN   Magnetar     0.07   0.40   0.60           2      512           160  
    SLSN   Magnetar     0.07   0.40   0.80           2      692           251  
    SLSN   Magnetar     0.07   0.40   1.00           2      864           316  
    SLSN   Magnetar     0.07   0.40   1.20           2     1030           349  
    SLSN   Magnetar     0.07   0.40   1.60           0     1274           429  
