mag prob
-23.50 0.000
-23.45 0.000
-23.40 0.000
-23.35 0.000
-23.30 0.000
-23.25 0.000
-23.20 0.000
-23.15 0.093
-23.10 0.093
-23.05 0.093
-23.00 0.093
-22.95 0.093
-22.90 0.093
-22.85 0.093
-22.80 0.093
-22.75 0.093
-22.70 0.093
-22.65 0.186
-22.60 0.186
-22.55 0.186
-22.50 0.186
-22.45 0.186
-22.40 0.186
-22.35 0.186
-22.30 0.186
-22.25 0.186
-22.20 0.604
-22.15 0.604
-22.10 0.604
-22.05 0.604
-22.00 0.604
-21.95 0.604
-21.90 0.604
-21.85 0.604
-21.80 0.604
-21.75 0.604
-21.70 0.279
-21.65 0.279
-21.60 0.279
-21.55 0.279
-21.50 0.279
-21.45 0.279
-21.40 0.279
-21.35 0.279
-21.30 0.279
-21.25 0.279
-21.20 0.418
-21.15 0.418
-21.10 0.418
-21.05 0.418
-21.00 0.418
-20.95 0.418
-20.90 0.418
-20.85 0.418
-20.80 0.418
-20.75 0.232
-20.70 0.232
-20.65 0.232
-20.60 0.232
-20.55 0.232
-20.50 0.232
-20.45 0.232
-20.40 0.232
-20.35 0.232
-20.30 0.232
-20.25 0.279
-20.20 0.279
-20.15 0.279
-20.10 0.279
-20.05 0.279
-20.00 0.279
-19.95 0.279
-19.90 0.279
-19.85 0.279
-19.80 0.000
-19.75 0.000
-19.70 0.000
-19.65 0.000
-19.60 0.000
-19.55 0.000
