mag prob
-23.50 0.000
-23.45 0.000
-23.40 0.000
-23.35 0.000
-23.30 0.000
-23.25 0.000
-23.20 0.000
-23.15 0.066
-23.10 0.066
-23.05 0.066
-23.00 0.066
-22.95 0.066
-22.90 0.066
-22.85 0.066
-22.80 0.066
-22.75 0.066
-22.70 0.066
-22.65 0.066
-22.60 0.066
-22.55 0.066
-22.50 0.066
-22.45 0.531
-22.40 0.531
-22.35 0.531
-22.30 0.531
-22.25 0.531
-22.20 0.531
-22.15 0.531
-22.10 0.531
-22.05 0.531
-22.00 0.531
-21.95 0.531
-21.90 0.531
-21.85 0.531
-21.80 0.332
-21.75 0.332
-21.70 0.332
-21.65 0.332
-21.60 0.332
-21.55 0.332
-21.50 0.332
-21.45 0.332
-21.40 0.332
-21.35 0.332
-21.30 0.332
-21.25 0.332
-21.20 0.332
-21.15 0.332
-21.10 0.299
-21.05 0.299
-21.00 0.299
-20.95 0.299
-20.90 0.299
-20.85 0.299
-20.80 0.299
-20.75 0.299
-20.70 0.299
-20.65 0.299
-20.60 0.299
-20.55 0.299
-20.50 0.299
-20.45 0.266
-20.40 0.266
-20.35 0.266
-20.30 0.266
-20.25 0.266
-20.20 0.266
-20.15 0.266
-20.10 0.266
-20.05 0.266
-20.00 0.266
-19.95 0.266
-19.90 0.266
-19.85 0.266
-19.80 0.000
-19.75 0.000
-19.70 0.000
-19.65 0.000
-19.60 0.000
-19.55 0.000
