mag  prob
-23.00 1.60
-22.95 1.48
-22.90 1.35
-22.85 1.22
-22.80 1.09
-22.75 0.96
-22.70 0.83
-22.65 0.70
-22.60 0.58
-22.55 0.45
-22.50 0.32
-22.45 1.46
-22.40 2.61
-22.35 3.76
-22.30 4.90
-22.25 6.05
-22.20 7.20
-22.15 8.34
-22.10 9.49
-22.05 10.64
-22.00 11.78
-21.95 11.51
-21.90 11.24
-21.85 10.97
-21.80 10.70
-21.75 10.43
-21.70 10.16
-21.65 9.89
-21.60 9.62
-21.55 9.35
-21.50 9.08
-21.45 8.87
-21.40 8.67
-21.35 8.46
-21.30 8.26
-21.25 8.05
-21.20 7.85
-21.15 7.64
-21.10 7.44
-21.05 7.23
-21.00 7.03
-20.95 6.74
-20.90 6.45
-20.85 6.16
-20.80 5.88
-20.75 5.59
-20.70 5.30
-20.65 5.02
-20.60 4.73
-20.55 4.44
-20.50 4.15
-20.45 4.06
-20.40 3.97
-20.35 3.88
-20.30 3.79
-20.25 3.70
-20.20 3.61
-20.15 3.52
-20.10 3.43
-20.05 3.34
