# Phase in days since bolometric maximum    
      Phase    LogBolLum  M_g       M_r       M_i
      192.0    42.975   -18.292   -18.783   -18.938
      194.0    42.966   -18.270   -18.761   -18.915
      196.0    42.957   -18.248   -18.739   -18.893
      198.0    42.948   -18.226   -18.716   -18.871
      200.0    42.939   -18.204   -18.694   -18.848
      202.0    42.930   -18.181   -18.671   -18.826
      204.0    42.921   -18.159   -18.649   -18.803
      206.0    42.912   -18.136   -18.626   -18.780
      208.0    42.903   -18.113   -18.603   -18.757
      210.0    42.894   -18.090   -18.580   -18.734
      212.0    42.884   -18.067   -18.557   -18.711
      214.0    42.875   -18.043   -18.533   -18.687
      216.0    42.865   -18.019   -18.509   -18.664
      218.0    42.856   -17.995   -18.485   -18.640
      220.0    42.846   -17.971   -18.461   -18.615
      222.0    42.836   -17.946   -18.436   -18.591
      224.0    42.826   -17.920   -18.411   -18.566
      226.0    42.816   -17.895   -18.386   -18.541
      228.0    42.806   -17.869   -18.361   -18.516
      230.0    42.796   -17.842   -18.335   -18.491
      232.0    42.786   -17.816   -18.309   -18.465
      234.0    42.775   -17.788   -18.283   -18.439
      236.0    42.764   -17.761   -18.256   -18.413
      238.0    42.754   -17.732   -18.229   -18.387
      240.0    42.743   -17.704   -18.201   -18.360
      242.0    42.732   -17.674   -18.174   -18.333
      244.0    42.721   -17.645   -18.146   -18.306
      246.0    42.709   -17.615   -18.117   -18.279
      248.0    42.698   -17.584   -18.089   -18.251
      250.0    42.687   -17.553   -18.060   -18.223
      252.0    42.675   -17.521   -18.031   -18.195
      254.0    42.663   -17.489   -18.001   -18.167
      256.0    42.652   -17.457   -17.971   -18.139
      258.0    42.640   -17.424   -17.941   -18.111
      260.0    42.628   -17.390   -17.911   -18.082
      262.0    42.616   -17.356   -17.880   -18.053
      264.0    42.604   -17.321   -17.849   -18.024
      266.0    42.592   -17.286   -17.818   -17.995
      268.0    42.580   -17.250   -17.786   -17.966
      270.0    42.567   -17.213   -17.755   -17.937
      272.0    42.555   -17.177   -17.723   -17.908
      274.0    42.543   -17.139   -17.690   -17.879
      276.0    42.530   -17.101   -17.658   -17.849
      278.0    42.518   -17.062   -17.625   -17.820
      280.0    42.505   -17.022   -17.592   -17.790
      282.0    42.493   -16.982   -17.558   -17.760
      284.0    42.480   -16.940   -17.524   -17.731
      286.0    42.467   -16.898   -17.490   -17.700
      288.0    42.454   -16.855   -17.455   -17.670
      290.0    42.441   -16.811   -17.419   -17.639
      292.0    42.428   -16.765   -17.383   -17.608
      294.0    42.415   -16.719   -17.346   -17.577
      296.0    42.401   -16.670   -17.308   -17.545
      298.0    42.388   -16.621   -17.270   -17.512
      300.0    42.374   -16.569   -17.230   -17.479
      302.0    42.360   -16.516   -17.189   -17.445
      304.0    42.345   -16.461   -17.147   -17.410
      306.0    42.331   -16.403   -17.103   -17.374
      308.0    42.315   -16.343   -17.057   -17.336
      310.0    42.300   -16.279   -17.009   -17.297
      312.0    42.284   -16.213   -16.959   -17.257
      314.0    42.267   -16.143   -16.907   -17.214
      316.0    42.249   -16.069   -16.851   -17.169
      318.0    42.231   -15.991   -16.793   -17.122
      320.0    42.212   -15.909   -16.731   -17.072
      322.0    42.193   -15.821   -16.665   -17.019
      324.0    42.172   -15.727   -16.595   -16.962
      326.0    42.150   -15.627   -16.520   -16.901
      328.0    42.127   -15.521   -16.440   -16.836
      330.0    42.102   -15.406   -16.354   -16.766
      332.0    42.076   -15.283   -16.261   -16.691
      334.0    42.048   -15.151   -16.161   -16.609
