mag prob
-23.50 0.008
-23.45 0.010
-23.40 0.012
-23.35 0.015
-23.30 0.019
-23.25 0.023
-23.20 0.028
-23.15 0.034
-23.10 0.040
-23.05 0.048
-23.00 0.057
-22.95 0.067
-22.90 0.078
-22.85 0.091
-22.80 0.105
-22.75 0.120
-22.70 0.136
-22.65 0.154
-22.60 0.173
-22.55 0.193
-22.50 0.214
-22.45 0.235
-22.40 0.257
-22.35 0.280
-22.30 0.302
-22.25 0.325
-22.20 0.347
-22.15 0.368
-22.10 0.388
-22.05 0.408
-22.00 0.426
-21.95 0.442
-21.90 0.457
-21.85 0.469
-21.80 0.480
-21.75 0.489
-21.70 0.495
-21.65 0.499
-21.60 0.501
-21.55 0.501
-21.50 0.499
-21.45 0.495
-21.40 0.489
-21.35 0.481
-21.30 0.471
-21.25 0.461
-21.20 0.449
-21.15 0.435
-21.10 0.421
-21.05 0.407
-21.00 0.391
-20.95 0.375
-20.90 0.359
-20.85 0.343
-20.80 0.327
-20.75 0.310
-20.70 0.294
-20.65 0.278
-20.60 0.262
-20.55 0.247
-20.50 0.232
-20.45 0.217
-20.40 0.203
-20.35 0.190
-20.30 0.177
-20.25 0.164
-20.20 0.152
-20.15 0.141
-20.10 0.130
-20.05 0.120
-20.00 0.111
-19.95 0.102
-19.90 0.093
-19.85 0.085
-19.80 0.078
-19.75 0.071
-19.70 0.065
-19.65 0.059
-19.60 0.053
-19.55 0.048
