name,notes,DEC,redshift,E(B-V),class,peakband,convertband,tpeak,tpeak_unc_low,tpeak_unc_up,gpeak,gpeak_unc,rpeak,rpeak_unc,gpeak_abs,gpeak_abs_unc,mag_convert,mag_convert_unc,gp_nc,gp_nc_err,rp_nc,rp_nc_err
ZTF18acxgqxq,yes<19,+48:45:27.6,0.2686,0.1506,bronze,g,r,2458483,3.4369,5.7071,18.3296,0.0245,18.3654,0.1191,-21.9358,0.0426,18.5653,0.0426,18.9179,0.0505,18.8229,0.0824
ZTF18acyxnyw,yes<18.5,+56:23:35.6,0.108,0.0091,gold,g,g,2458509.43,3.7545,2.6805,18.2252,0.0486,18.2683,0.0264,-20.1856,0.0486,18.2252,0.0486,18.3137,0.0439,18.3105,0.0324
ZTF19aacxrab,yes=19.0,+06:46:24.7,0.12,0.0229,bronze,g,g,2458547.14,26.1607,8.8125,18.9817,0.1122,18.7105,0.1189,-19.7862,0.1122,18.9817,0.1122,19.134,0.1101,18.8442,0.097
ZTF19aaknqmp,YES<19,+32:00:05.6,0.148,0.0123,bronze,g,g,2458559.65,10.3746,4.4948,18.7167,0.1259,18.6085,0.0777,-20.6476,0.1259,18.7167,0.1259,18.7925,0.0998,18.6484,0.0714
ZTF19aamhast,"yes,<19.5",+04:56:02.2,0.3815,0.0348,bronze,g,r,2458579.31,7.8538,5.5592,19.2231,0.0579,19.2988,0.0862,-21.8912,0.1096,19.3167,0.1096,19.371,0.0612,19.383,0.0842
ZTF19aanesgt,yes<19,+65:28:46.7,0.153,0.0441,silver,g,g,2458579.11,2.2984,6.2706,18.4416,0.0353,18.2942,0.0197,-21.0847,0.0353,18.4416,0.0353,18.6104,0.0181,18.4083,0.0189
ZTF19aaohuwc,"yes,<19.5",+00:30:02.6,0.26,0.0309,silver,g,r,2458584.5,3.1349,5.8413,18.9996,0.041,19.2117,0.0463,-21.1111,0.039,19.2599,0.039,19.1496,0.0503,19.3004,0.0479
ZTF19aapaeye,"yes,=19.5",+48:59:13.7,0.32,0.0186,gold,g,r,2458594.31,2.6364,2.2121,19.4028,0.0331,19.5407,0.0165,-21.2723,0.0218,19.5647,0.0218,19.4938,0.0242,19.5943,0.0183
ZTF19aaqrime,"yes,<19.5",+78:45:43.8,0.3562,0.0775,gold,g,r,2458651.35,3.4582,3.9891,19.3049,0.0261,19.1115,0.0224,-23.1923,0.0222,19.1122,0.0222,19.612,0.0302,19.3223,0.0234
ZTF19aarphwc,yes<19,+50:17:43.3,0.3057,0.0366,gold,g,r,2458637.63,1.3096,1.1948,18.446,0.006,18.5819,0.0076,-22.119,0.0065,18.615,0.0065,18.5932,0.0069,18.6807,0.0074
ZTF19aauvzyh,yes<19.5,+17:12:42.6,0.1235,0.0272,bronze,g,g,2458648.99,2.7147,0,19.0729,0.1191,19.0289,0.1476,-20.0594,0.1191,19.0729,0.1191,19.3136,0.1128,19.1459,0.1145
ZTF19aavouyw,yes<19,+24:03:45.0,0.1816,0.0465,silver,g,g,2458643.57,1.2525,2.5389,18.4659,0.0236,18.6804,0.0266,-20.9093,0.0236,18.4659,0.0236,18.6515,0.0261,18.8165,0.0285
ZTF19aawfbtg,yes<19,+24:47:17.1,0.0866,0.058,gold,g,g,2458695.72,1.6749,1.7394,18.0267,0.0112,18.0365,0.01,-19.8528,0.0112,18.0267,0.0112,18.2615,0.02,18.1838,0.0129
ZTF19aawsqsc,yes ~19.5,+62:43:41.0,0.26,0.0583,gold,g,r,2458657.87,2.9524,2.4762,19.203,0.0302,19.2731,0.0332,-21.046,0.0256,19.3508,0.0256,19.4472,0.0299,19.4298,0.0386
