name,RA,DEC,redshift,E(B-V),class,peakband,convertband,tpeak,tpeak_unc_low,tpeak_unc_up,gpeak,gpeak_unc,rpeak,rpeak_unc,gpeak_abs,gpeak_abs_unc,mag_convert,mag_convert_unc
ZTF19abaeyqw,14:08:19.78,+08:58:01.0,0.4000,0.0227,silver,g,r,2458682.0200,6.3286,14.3786,19.0025,0.0705,19.1850,0.1350,-22.0860,0.0941,19.2104,0.0941
ZTF19abcvwrz,15:57:48.27,+27:28:03.5,0.4000,0.0362,silver,g,r,2458704.8300,12.9143,8.5571,20.1201,0.0749,19.8358,0.0700,-21.5499,0.0787,19.8436,0.0787
ZTF19abdlzyq,15:29:23.55,+38:06:12.6,0.4200,0.0118,silver,g,r,2458683.5100,3.8732,4.1761,19.8976,0.0275,19.9723,0.0897,-21.4378,0.0783,19.9784,0.0783
ZTF19abfvnns,00:04:40.58,+42:52:11.3,0.1295,0.0829,gold,g,g,2458708.3700,1.6733,0.9562,17.7667,0.0080,18.0049,0.0110,-20.9432,0.0080,17.7667,0.0080
ZTF19abkfshj,02:52:21.63,-17:48:12.4,0.5500,0.0241,bronze,g,r,2458695.0000,0.0000,3.9290,19.2610,0.0584,19.3962,0.0424,-22.6005,0.0690,19.4393,0.0690
ZTF19abnacvf,00:52:01.44,+07:36:59.7,0.1900,0.0514,gold,g,r,2458737.5000,3.2521,2.2437,18.2169,0.0118,18.3486,0.0310,-21.3612,0.0157,18.3700,0.0157
ZTF19abnqqdp,23:43:36.16,+12:29:01.0,0.6360,0.0448,silver,g,r,2458723.8300,5.2139,3.8509,20.1367,0.0431,20.0297,0.0531,-22.0888,0.0361,20.2278,0.0361
ZTF19abpbopt,17:54:26.76,+47:15:40.6,0.1060,0.0334,gold,g,g,2458730.3600,1.8083,2.1700,16.9400,0.0141,17.1633,0.0133,-21.2786,0.0141,16.9400,0.0141
ZTF19abrbsvm,22:33:54.08,-02:09:42.3,0.1656,0.0480,bronze,r,g,2458736.2300,8.3305,5.5165,19.5843,0.0709,19.2242,0.1401,-19.8167,0.0774,19.5875,0.0774
ZTF19abuolvj,22:29:57.55,-04:06:02.2,0.3470,0.0540,bronze,g,r,2458754.4400,9.3244,8.0549,19.3737,0.1036,19.3862,0.0739,-21.5760,0.0578,19.4392,0.0578
ZTF19abuyuwa,01:01:11.77,+14:01:35.4,0.5726,0.0373,silver,g,r,2458773.1200,5.9774,11.9992,19.7517,0.0497,19.8180,0.0515,-22.2286,0.0302,19.9127,0.0302
