# Nicholl et al. 2017
# Median and 1-sigma bounds for all parameters and all SLSNe.
#           redshift       (mag)	         (ms)         (10^14 Gauss)        (Msun)            (10^3 kms)         (cm^2/erg)                  (cm^2/erg)                      (Msun)        (10^3 K)          (mag)
Name           z       M_g     M_r     M_i     P   P-   P+     B   B-   B+     Mej  Mej- Mej+      Vej  Vej- Vej+  kappa kappa- kappa+ kappa_gamma kappa_gamma- kappa_gamma+    Mns Mns- Mns+   Tf   Tf- Tf+    Av   Av-  Av+
SN2010gx     0.2297  -21.36  -21.23  -21.08  3.66 0.54 0.60  0.59 0.15 0.28   2.39  0.58  0.61   12.65  0.63 0.55  0.18   0.03  0.02      0.02        0.01          0.02       1.79 0.24 0.28  3.99 0.12 0.11  0.02 0.01 0.02
SN2011kf     0.245   -22.76  -22.46  -22.21  1.48 0.66 1.16  0.70 0.33 0.56   4.57  2.66 17.85   11.46  1.45 1.15  0.16   0.05  0.03      0.04        0.02          0.04       1.85 0.30 0.26  5.86 0.25 0.26  0.23 0.18 0.20
iPTF16bad    0.2467  -20.86  -20.53  -20.27  3.73 0.70 0.65  2.62 0.49 0.55   2.22  0.98  1.05    7.11  0.59 0.71  0.07   0.02  0.04      1.96        1.76         18.69       1.79 0.24 0.23  6.28 0.65 0.35  0.05 0.04 0.08
LSQ14mo      0.253   -21.02  -20.88  -20.73  4.97 0.71 0.65  1.01 0.30 0.27   2.10  0.36  0.42   10.74  0.41 0.52  0.17   0.02  0.03      0.02        0.00          0.01       1.85 0.27 0.22  4.97 0.16 0.17  0.08 0.06 0.10
LSQ12dlf     0.255   -21.65  -21.38  -21.16  2.82 0.58 0.55  1.20 0.26 0.31   3.68  0.96  2.28    8.28  0.24 0.25  0.11   0.04  0.04      2.36        2.00         18.09       1.77 0.25 0.31  3.77 0.14 0.14  0.29 0.11 0.14
PTF09cnd     0.2584  -21.76  -21.64  -21.50  1.46 0.48 0.38  0.10 0.06 0.09   5.16  1.64  2.41    8.56  1.41 1.53  0.16   0.05  0.03      0.01        0.00          0.01       1.82 0.23 0.22  4.44 0.41 0.36  0.17 0.12 0.18
SN2013dg     0.265   -21.39  -21.12  -20.90  3.50 0.59 0.60  1.56 0.32 0.41   2.75  0.99  1.63    8.38  0.51 0.44  0.12   0.04  0.06      0.04        0.02          0.02       1.80 0.21 0.22  5.07 0.31 0.23  0.07 0.06 0.10
SN2005ap     0.2832  -22.54  -22.21  -21.95  1.28 0.39 0.57  1.71 0.63 0.75   3.57  1.23  3.04   15.22  2.20 2.51  0.15   0.06  0.03      0.09        0.08          5.05       1.89 0.35 0.16  5.77 0.95 0.89  0.25 0.16 0.15
iPTF13ehe    0.3434  -21.24  -21.36  -21.35  2.57 0.30 0.38  0.20 0.06 0.09  10.03  2.55  2.28    6.66  0.31 0.27  0.16   0.04  0.03      0.04        0.02          0.02       1.87 0.25 0.22  5.01 0.15 0.19  0.15 0.11 0.16
LSQ14bdq     0.345   -22.80  -22.66  -22.50  0.98 0.15 0.20  0.49 0.12 0.13  33.71  6.56  6.16    8.71  0.66 0.61  0.19   0.02  0.01      0.01        0.00          0.00       1.80 0.20 0.27  6.78 0.29 0.49  0.37 0.14 0.09
PTF09cwl     0.3499  -22.55  -22.39  -22.22  1.74 0.76 0.66  0.27 0.22 0.59   6.98  2.78  9.32    9.11  2.08 4.14  0.17   0.06  0.02      0.03        0.02          2.05       1.86 0.32 0.27  3.91 0.26 0.32  0.32 0.19 0.11
SN2006oz     0.376   -21.70  -21.70  -21.67  2.70 0.75 0.74  0.32 0.19 0.24   2.97  1.08  2.58    9.46  0.75 0.69  0.13   0.04  0.06      0.39        0.35         13.20       1.80 0.23 0.28  5.93 1.05 0.72  0.11 0.08 0.15
iPTF13dcc    0.5015  -22.15  -21.89  -21.67  0.81 0.08 0.15  0.98 0.15 0.21  23.96  7.99 12.51    5.23  0.17 0.29  0.10   0.03  0.05      0.68        0.64         19.91       1.97 0.23 0.15  6.27 0.52 0.52  0.05 0.03 0.09
PTF09atu     0.5015  -21.62  -21.64  -21.57  1.59 0.49 0.43  0.09 0.05 0.08   6.20  1.72  2.01   11.76  0.78 1.10  0.16   0.05  0.03      0.02        0.01          0.02       1.88 0.30 0.18  4.98 0.45 0.66  0.21 0.14 0.17
