  SNType      Model   Zstart   Zend   Rate   Iteration   RawLCs   FilteredLCs  
    SLSN   Magnetar     0.07    0.2    0.5           0       75            47  
    SLSN   Magnetar     0.07    0.2    0.5           1       92            58  
    SLSN   Magnetar     0.07    0.2    0.5           2       70            52  
    SLSN   Magnetar     0.07    0.2    0.5           3       70            46  
    SLSN   Magnetar     0.07    0.2    0.5           4       83            56  
    SLSN   Magnetar     0.07    0.2   1.25           0      212           142  
    SLSN   Magnetar     0.07    0.2   1.25           1      204           128  
    SLSN   Magnetar     0.07    0.2   1.25           2      205           140  
    SLSN   Magnetar     0.07    0.2   1.25           3      196           145  
    SLSN   Magnetar     0.07    0.2   1.25           4      191           124  
    SLSN   Magnetar     0.07    0.2    2.0           0      314           202  
    SLSN   Magnetar     0.07    0.2    2.0           1      332           238  
    SLSN   Magnetar     0.07    0.2    2.0           2      330           236  
    SLSN   Magnetar     0.07    0.2    2.0           3      334           221  
    SLSN   Magnetar     0.07    0.2    2.0           4      328           222  
    SLSN   Magnetar     0.07    0.2   2.75           0      434           289  
    SLSN   Magnetar     0.07    0.2   2.75           1      456           292  
    SLSN   Magnetar     0.07    0.2   2.75           2      461           331  
    SLSN   Magnetar     0.07    0.2   2.75           3      426           288  
    SLSN   Magnetar     0.07    0.2   2.75           4      471           336  
    SLSN   Magnetar     0.07    0.2    3.5           0      434           217  
    SLSN   Magnetar     0.07    0.2    3.5           1      570           372  
    SLSN   Magnetar     0.07    0.2    3.5           2      552           363  
    SLSN   Magnetar     0.07    0.2    3.5           3      549           363  
    SLSN   Magnetar     0.07    0.2    3.5           4      564           375  
