  SNType      Model   Zstart   Zend    Rate   Iteration   RawLCs   FilteredLCs  
    SLSN   Magnetar     0.07   0.40   10.00          19     7688          3044  
    SLSN   Magnetar     0.07   0.40   10.00           1     7553          3030  
    SLSN   Magnetar     0.07   0.40   10.00           3     7683          3071  
    SLSN   Magnetar     0.07   0.40   10.00           5     7640          3023  
    SLSN   Magnetar     0.07   0.40   10.00           7     7691          3121  
    SLSN   Magnetar     0.07   0.40   10.00           9     7652          3092  
    SLSN   Magnetar     0.07   0.40   10.00          11     7590          3113  
    SLSN   Magnetar     0.07   0.40   10.00          13     7668          3080  
    SLSN   Magnetar     0.07   0.40   10.00          15     7756          3087  
    SLSN   Magnetar     0.07   0.40   10.00          20     7721          3182  
    SLSN   Magnetar     0.07   0.40   10.00           0     7574          2968  
    SLSN   Magnetar     0.07   0.40   10.00           2     7628          3081  
    SLSN   Magnetar     0.07   0.40   10.00           4     7533          3032  
    SLSN   Magnetar     0.07   0.40   10.00           6     7581          3112  
    SLSN   Magnetar     0.07   0.40   10.00           8     7656          3062  
    SLSN   Magnetar     0.07   0.40   10.00          10     7679          3129  
    SLSN   Magnetar     0.07   0.40   10.00          12     7718          3069  
    SLSN   Magnetar     0.07   0.40   10.00          14     7550          3002  
    SLSN   Magnetar     0.07   0.40   10.00          23     7774          3159  
    SLSN   Magnetar     0.07   0.40   10.00          16     7570          2956  
    SLSN   Magnetar     0.07   0.40   10.00          24     7786          3130  
    SLSN   Magnetar     0.07   0.40   10.00          18     7692          3056  
    SLSN   Magnetar     0.07   0.40   10.00          22     7641          3022  
    SLSN   Magnetar     0.07   0.40   10.00          17     7671          3101  
    SLSN   Magnetar     0.07   0.40   10.00          21     7764          3142  
