  SNType      Model   Zstart   Zend   Rate   Iteration   RawLCs   FilteredLCs  
    SLSN   Magnetar     0.07   0.40   1.20           1     1006           302  
    SLSN   Magnetar     0.07   0.40   1.40           2     1242           373  
    SLSN   Magnetar     0.07   0.40   1.80           1     1504           470  
    SLSN   Magnetar     0.07   0.40   2.20           1     1946           585  
    SLSN   Magnetar     0.07   0.40   2.40           2     2036           630  
    SLSN   Magnetar     0.07   0.40   0.20           1      165            39  
    SLSN   Magnetar     0.07   0.40   0.40           0      352            78  
    SLSN   Magnetar     0.07   0.40   0.40           2      347           101  
    SLSN   Magnetar     0.07   0.40   0.60           1      549           172  
    SLSN   Magnetar     0.07   0.40   0.80           1      685           184  
    SLSN   Magnetar     0.07   0.40   1.00           1      871           263  
    SLSN   Magnetar     0.07   0.40   1.20           2     1072           306  
    SLSN   Magnetar     0.07   0.40   1.60           0     1463           484  
    SLSN   Magnetar     0.07   0.40   1.80           2     1549           461  
    SLSN   Magnetar     0.07   0.40   2.20           2     1863           566  
    SLSN   Magnetar     0.07   0.40   2.00           0     1767           524  
    SLSN   Magnetar     0.07   0.40   2.40           0     2016           593  
    SLSN   Magnetar     0.07   0.40   0.20           0      158            55  
    SLSN   Magnetar     0.07   0.40   0.20           2      176            45  
    SLSN   Magnetar     0.07   0.40   0.40           1      357           102  
    SLSN   Magnetar     0.07   0.40   0.60           0      516           161  
    SLSN   Magnetar     0.07   0.40   0.80           0      686           199  
    SLSN   Magnetar     0.07   0.40   1.00           0      864           252  
    SLSN   Magnetar     0.07   0.40   1.20           0     1013           318  
    SLSN   Magnetar     0.07   0.40   1.40           1     1231           384  
    SLSN   Magnetar     0.07   0.40   1.60           2     1440           453  
    SLSN   Magnetar     0.07   0.40   2.00           2     1665           500  
    SLSN   Magnetar     0.07   0.40   1.80           0     1577           449  
    SLSN   Magnetar     0.07   0.40   2.20           0     1927           554  
    SLSN   Magnetar     0.07   0.40   0.60           2      545           160  
    SLSN   Magnetar     0.07   0.40   0.80           2      647           195  
    SLSN   Magnetar     0.07   0.40   1.00           2      835           222  
    SLSN   Magnetar     0.07   0.40   1.40           0     1143           367  
    SLSN   Magnetar     0.07   0.40   1.60           1     1388           392  
    SLSN   Magnetar     0.07   0.40   2.00           1     1711           538  
    SLSN   Magnetar     0.07   0.40   2.40           1     2172           612  
