  SNType      Model   Zstart   Zend   Rate   Iteration   RawLCs   FilteredLCs  
    SLSN   Magnetar     0.07   0.40   2.00           1     1323           406  
    SLSN   Magnetar     0.07   0.40   2.50           0     1725           529  
    SLSN   Magnetar     0.07   0.40   2.50           4     1653           511  
    SLSN   Magnetar     0.07   0.40   0.50           2      343           114  
    SLSN   Magnetar     0.07   0.40   0.50           4      361           114  
    SLSN   Magnetar     0.07   0.40   1.00           1      662           218  
    SLSN   Magnetar     0.07   0.40   1.00           3      695           237  
    SLSN   Magnetar     0.07   0.40   1.50           1     1001           309  
    SLSN   Magnetar     0.07   0.40   1.50           4      989           310  
    SLSN   Magnetar     0.07   0.40   2.00           3     1390           456  
    SLSN   Magnetar     0.07   0.40   2.50           2     1614           509  
    SLSN   Magnetar     0.07   0.40   3.00           2     2006           665  
    SLSN   Magnetar     0.07   0.40   3.00           3     2030           669  
    SLSN   Magnetar     0.07   0.40   0.50           0      347           113  
    SLSN   Magnetar     0.07   0.40   0.50           1      317           110  
    SLSN   Magnetar     0.07   0.40   0.50           3      330           114  
    SLSN   Magnetar     0.07   0.40   1.00           0      668           219  
    SLSN   Magnetar     0.07   0.40   1.00           2      699           211  
    SLSN   Magnetar     0.07   0.40   1.50           0      992           343  
    SLSN   Magnetar     0.07   0.40   1.50           3      971           314  
    SLSN   Magnetar     0.07   0.40   2.00           2     1332           425  
    SLSN   Magnetar     0.07   0.40   2.50           1     1764           559  
    SLSN   Magnetar     0.07   0.40   3.00           0     2056           665  
    SLSN   Magnetar     0.07   0.40   3.00           1     2021           629  
    SLSN   Magnetar     0.07   0.40   1.00           4      676           214  
    SLSN   Magnetar     0.07   0.40   1.50           2     1003           320  
    SLSN   Magnetar     0.07   0.40   2.00           0     1311           384  
    SLSN   Magnetar     0.07   0.40   2.00           4     1318           419  
    SLSN   Magnetar     0.07   0.40   2.50           3     1744           537  
    SLSN   Magnetar     0.07   0.40   3.00           4     2038           674  
